Count,sender,sender_id,receiver,receiver_id,amount,currency,Mt,year,direction,category,send region,receiver region,mx/mt
14,BNP Paribas,BPBNSAGC7SV,Citibank,CCITCSAWGWT,36066.75,USD,MT910,2016,Outgoing,Interbank Settlement,South Asia,North America,MT
15,JPMorgan Chase,JCJPCSPOOGD,Abu Dhabi Islamic Bank,ADIBMEAAD1L,22651.91,EUR,MT103,2017,Outgoing,Corporate Payment,Central Asia,Middle East,MT
16,Mashreq Bank,MBMAMEAE4ZY,United Arab Bank,UABUMEAPCIA,3380.69,USD,MT950,2018,Incoming,Trade Finance,Middle East,Middle East,MT
17,Industrial and Commercial Bank of China,IACBCASEWNX,Sharjah Islamic Bank,SIBSMEAWAQ7,1238.73,USD,MT103,2023,Outgoing,Trade Finance,Caribbean,Middle East,MT
18,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Standard Chartered,SCSTSAJOP2N,15875.74,GBP,MT910,2020,Incoming,Treasury Operations,Asia Pacific,North America,MT
19,Deutsche Bank,DBDEAFDWKG7,Abu Dhabi Islamic Bank,ADIBMEAAD1L,122300.23,USD,MT940,2022,Incoming,FX Settlement,Africa,Middle East,MT
20,HSBC,HSBCSAJE8V3,Commercial Bank of Dubai,CBODMEA7WUU,68043.3,USD,MT940,2020,Incoming,FX Settlement,South Asia,Middle East,MT
21,Deutsche Bank,DBDEAFDWKG7,Industrial and Commercial Bank of China,IACBCASEWNX,284903.96,USD,MT700,2018,Outgoing,Retail Payment,Africa,Asia Pacific,MT
22,BNP Paribas,BPBNSAGC7SV,Dubai Islamic Bank,DIBDMEA5E82,81665.27,CNY,MT950,2023,Incoming,Loan Disbursement,South Asia,Middle East,MT
23,Citibank,CCITCSAWGWT,Abu Dhabi Commercial Bank,ADCBMEAD03P,9674.03,GBP,MT202,2021,Incoming,Trade Finance,Central Asia,Southeast Asia,MT
24,Industrial and Commercial Bank of China,IACBCASEWNX,Abu Dhabi Commercial Bank,ADCBMEAD03P,50725.43,SGD,MT910,2022,Incoming,Treasury Operations,Caribbean,Middle East,MT
25,Credit Suisse,CSCREUD3JR5,UBS,UBSXCAE3O4P,7492397.0,JPY,MT910,2020,Incoming,Trade Finance,Europe,Asia Pacific,MT
26,Emirates NBD,ENEMMEA6RXO,Emirates NBD,ENEMMEA6RXO,44692.5,USD,MT910,2020,Incoming,Interbank Settlement,Middle East,Middle East,MT
27,Bank of China,BOCBLAUE3HB,National Bank of Fujairah,NBOFMEAE56L,21473.34,GBP,MT950,2022,Outgoing,Trade Finance,Latin America,Middle East,MT
28,Bank of America,BOABAPYTBUG,Emirates NBD,ENEMMEA6RXO,3017.54,EUR,MT950,2020,Incoming,FX Settlement,Asia Pacific,Middle East,MT
29,BNP Paribas,BPBNSAGC7SV,First Abu Dhabi Bank,FADBMEA2699,75590.83,USD,MT700,2020,Incoming,Loan Disbursement,South Asia,Middle East,MT
30,Deutsche Bank,DBDEAFDWKG7,Commercial Bank of Dubai,CBODMEA7WUU,378961.34,USD,MT910,2019,Incoming,Retail Payment,Africa,Middle East,MT
31,Royal Bank of Canada,RBOCAPJ0UHW,Emirates NBD,ENEMMEA6RXO,14809.36,USD,MT799,2023,Incoming,Retail Payment,Asia Pacific,Middle East,MT
32,Industrial and Commercial Bank of China,IACBCASEWNX,Emirates NBD,ENEMMEA6RXO,1303096.29,SGD,MT910,2015,Outgoing,Investment,Caribbean,Middle East,MT
33,JPMorgan Chase,JCJPCSPOOGD,UBS,UBSXCAE3O4P,18284.36,CAD,MT700,2021,Incoming,Trade Finance,Central Asia,Latin America,MT
34,Royal Bank of Canada,RBOCAPJ0UHW,Abu Dhabi Islamic Bank,ADIBMEAAD1L,66870.37,USD,MT700,2015,Incoming,Corporate Payment,Asia Pacific,Middle East,MT
35,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Sharjah Islamic Bank,SIBSMEAWAQ7,57106.25,USD,MT940,2022,Outgoing,Corporate Payment,Asia Pacific,Middle East,MT
36,Industrial and Commercial Bank of China,IACBCASEWNX,Barclays,BBARCAJJO3R,4357.7,USD,MT910,2015,Incoming,Loan Disbursement,Caribbean,North America,MT
37,JPMorgan Chase,JCJPCSPOOGD,Abu Dhabi Commercial Bank,ADCBMEAD03P,175038.85,AED,MT103,2022,Incoming,FX Settlement,Central Asia,Middle East,MT
38,Dubai Islamic Bank,DIBDMEA5E82,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,712483578.0,JPY,MT940,2016,Incoming,Corporate Payment,Middle East,Middle East,MT
39,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,First Abu Dhabi Bank,FADBMEA2699,709267.37,USD,MT202,2016,Incoming,Investment,Asia Pacific,Middle East,MT
40,UBS,UBSXCAE3O4P,Commercial Bank of Dubai,CBODMEA7WUU,1338.23,USD,MT700,2018,Incoming,Treasury Operations,Caribbean,Middle East,MT
41,Royal Bank of Canada,RBOCAPJ0UHW,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,50229.84,USD,MT799,2022,Incoming,Interbank Settlement,Asia Pacific,Middle East,MT
42,JPMorgan Chase,JCJPCSPOOGD,Abu Dhabi Islamic Bank,ADIBMEAAD1L,3273.75,USD,MT950,2021,Outgoing,Corporate Payment,Central Asia,Middle East,MT
43,Goldman Sachs,GSGOAPYB7P0,Emirates NBD,ENEMMEA6RXO,11365.29,AED,MT202,2020,Outgoing,Corporate Payment,Asia Pacific,Middle East,MT
44,Credit Suisse,CSCREUD3JR5,First Abu Dhabi Bank,FADBMEA2699,1112.21,USD,MT202,2017,Outgoing,Loan Disbursement,Europe,Latin America,MT
45,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,National Bank of Fujairah,NBOFMEAE56L,3323.17,CAD,MT940,2016,Incoming,Loan Disbursement,Asia Pacific,Middle East,MT
46,JPMorgan Chase,JCJPCSPOOGD,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,74181.79,EUR,MT700,2015,Outgoing,Investment,Central Asia,Middle East,MT
47,Dubai Islamic Bank,DIBDMEA5E82,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,36432.27,EUR,MT202,2022,Incoming,FX Settlement,Middle East,Middle East,MT
48,Bank of America,BOABAPYTBUG,Citibank,CCITCSAWGWT,70400.18,USD,MT202,2021,Incoming,Treasury Operations,Asia Pacific,Latin America,MT
49,Morgan Stanley,MSMOAFSRT5V,UBS,UBSXCAE3O4P,94566.98,GBP,MT760,2020,Incoming,FX Settlement,Africa,Asia Pacific,MT
50,HSBC,HSBCSAJE8V3,Wells Fargo,WFWENAPH7O1,19012.09,EUR,MT202,2022,Outgoing,Interbank Settlement,South Asia,Africa,MT
51,Goldman Sachs,GSGOAPYB7P0,United Arab Bank,UABUMEAPCIA,17541.46,CAD,MT202,2018,Outgoing,Interbank Settlement,Asia Pacific,Middle East,MT
52,Abu Dhabi Commercial Bank,ADCBMEAD03P,Abu Dhabi Commercial Bank,ADCBMEAD03P,53235.24,USD,MT202,2020,Outgoing,Loan Disbursement,Middle East,Middle East,MT
53,Barclays,BBARCAJJO3R,Sharjah Islamic Bank,SIBSMEAWAQ7,4074.78,USD,MT940,2015,Incoming,Corporate Payment,Caribbean,Middle East,MT
54,First Abu Dhabi Bank,FADBMEA2699,United Arab Bank,UABUMEAPCIA,15067501.0,JPY,MT760,2017,Outgoing,Treasury Operations,Middle East,Middle East,MT
55,Bank of America,BOABAPYTBUG,Emirates NBD,ENEMMEA6RXO,67571.42,SGD,MT950,2019,Incoming,Corporate Payment,Asia Pacific,Latin America,MT
56,Standard Chartered,SCSTSAJOP2N,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,46771.84,EUR,MT799,2015,Outgoing,Trade Finance,South Asia,Middle East,MT
57,Industrial and Commercial Bank of China,IACBCASEWNX,Emirates NBD,ENEMMEA6RXO,156094.71,USD,MT700,2016,Outgoing,Trade Finance,Caribbean,Middle East,MT
58,Credit Suisse,CSCREUD3JR5,First Abu Dhabi Bank,FADBMEA2699,22731.47,USD,MT940,2020,Incoming,Investment,Europe,Middle East,MT
59,Morgan Stanley,MSMOAFSRT5V,First Abu Dhabi Bank,FADBMEA2699,6124.85,USD,MT760,2020,Outgoing,Interbank Settlement,Africa,Middle East,MT
60,Bank of America,BOABAPYTBUG,Mashreq Bank,MBMAMEAE4ZY,79123.95,AED,MT103,2019,Outgoing,Treasury Operations,Asia Pacific,Middle East,MT
61,BNP Paribas,BPBNSAGC7SV,Mashreq Bank,MBMAMEAE4ZY,131527.22,AED,MT940,2019,Incoming,Trade Finance,South Asia,Latin America,MT
62,Abu Dhabi Commercial Bank,ADCBMEAD03P,Wells Fargo,WFWENAPH7O1,271832.1,USD,MT799,2022,Incoming,Corporate Payment,Middle East,Caribbean,MT
63,HSBC,HSBCSAJE8V3,Mashreq Bank,MBMAMEAE4ZY,1745.86,EUR,MT799,2023,Outgoing,Investment,South Asia,Middle East,MT
64,BNP Paribas,BPBNSAGC7SV,Dubai Islamic Bank,DIBDMEA5E82,24797.88,USD,MT760,2023,Outgoing,Retail Payment,South Asia,Africa,MT
65,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,BNP Paribas,BPBNSAGC7SV,21407.05,USD,MT760,2018,Incoming,Corporate Payment,Asia Pacific,Asia Pacific,MT
66,Barclays,BBARCAJJO3R,National Bank of Fujairah,NBOFMEAE56L,17968.91,AED,MT700,2015,Outgoing,Interbank Settlement,Caribbean,Middle East,MT
67,Industrial and Commercial Bank of China,IACBCASEWNX,Citibank,CCITCSAWGWT,169096.52,AUD,MT799,2019,Outgoing,Loan Disbursement,Caribbean,Caribbean,MT
68,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Royal Bank of Canada,RBOCAPJ0UHW,14335.3,USD,MT700,2016,Incoming,Trade Finance,Asia Pacific,Latin America,MT
69,Credit Suisse,CSCREUD3JR5,Emirates NBD,ENEMMEA6RXO,8642.13,GBP,MT910,2018,Outgoing,FX Settlement,Europe,Middle East,MT
70,Emirates NBD,ENEMMEA6RXO,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,358595.58,CAD,MT950,2023,Incoming,Investment,Middle East,Middle East,MT
71,Royal Bank of Canada,RBOCAPJ0UHW,RAK Bank,RBRAMEAANF7,44094.33,USD,MT760,2017,Incoming,Interbank Settlement,Asia Pacific,Middle East,MT
72,Credit Suisse,CSCREUD3JR5,Dubai Islamic Bank,DIBDMEA5E82,4622.66,AUD,MT910,2019,Outgoing,Trade Finance,Europe,Middle East,MT
73,Royal Bank of Canada,RBOCAPJ0UHW,Dubai Islamic Bank,DIBDMEA5E82,2271.37,USD,MT700,2020,Outgoing,Investment,Asia Pacific,Middle East,MT
74,Standard Chartered,SCSTSAJOP2N,Bank of China,BOCBLAUE3HB,51894.62,EUR,MT950,2020,Incoming,Corporate Payment,South Asia,Southeast Asia,MT
75,Standard Chartered,SCSTSAJOP2N,Abu Dhabi Islamic Bank,ADIBMEAAD1L,152798.61,EUR,MT940,2023,Outgoing,Retail Payment,South Asia,Middle East,MT
76,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,United Arab Bank,UABUMEAPCIA,41317.85,AED,MT799,2017,Outgoing,Corporate Payment,Asia Pacific,Middle East,MT
77,Citibank,CCITCSAWGWT,Mashreq Bank,MBMAMEAE4ZY,81475.47,AED,MT799,2017,Incoming,Corporate Payment,Central Asia,Middle East,MT
78,Royal Bank of Canada,RBOCAPJ0UHW,National Bank of Fujairah,NBOFMEAE56L,23634.69,USD,MT700,2023,Outgoing,Treasury Operations,Asia Pacific,Middle East,MT
79,Citibank,CCITCSAWGWT,Emirates NBD,ENEMMEA6RXO,438.31,AED,MT202,2018,Incoming,Trade Finance,Central Asia,Middle East,MT
80,Standard Chartered,SCSTSAJOP2N,United Arab Bank,UABUMEAPCIA,12520.05,EUR,MT950,2020,Outgoing,Loan Disbursement,South Asia,Middle East,MT
81,Standard Chartered,SCSTSAJOP2N,Mashreq Bank,MBMAMEAE4ZY,123554.13,CHF,MT950,2015,Incoming,Corporate Payment,South Asia,Middle East,MT
82,HSBC,HSBCSAJE8V3,Abu Dhabi Commercial Bank,ADCBMEAD03P,48427.23,USD,MT700,2019,Outgoing,Loan Disbursement,South Asia,Middle East,MT
83,Deutsche Bank,DBDEAFDWKG7,Emirates NBD,ENEMMEA6RXO,7960.49,GBP,MT700,2022,Outgoing,Treasury Operations,Africa,Middle East,MT
84,UBS,UBSXCAE3O4P,Wells Fargo,WFWENAPH7O1,163026.57,USD,MT950,2023,Outgoing,Corporate Payment,Caribbean,North America,MT
85,HSBC,HSBCSAJE8V3,United Arab Bank,UABUMEAPCIA,1222.35,EUR,MT940,2022,Outgoing,FX Settlement,South Asia,Middle East,MT
86,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,RAK Bank,RBRAMEAANF7,86847.44,USD,MT760,2016,Incoming,Trade Finance,Asia Pacific,Middle East,MT
87,JPMorgan Chase,JCJPCSPOOGD,Goldman Sachs,GSGOAPYB7P0,6481.79,USD,MT103,2023,Outgoing,Trade Finance,Central Asia,Asia Pacific,MT
88,Dubai Islamic Bank,DIBDMEA5E82,Abu Dhabi Commercial Bank,ADCBMEAD03P,9522.97,USD,MT202,2016,Outgoing,Retail Payment,Middle East,Middle East,MT
89,Mashreq Bank,MBMAMEAE4ZY,National Bank of Fujairah,NBOFMEAE56L,26469.76,USD,MT950,2019,Outgoing,Trade Finance,Middle East,Middle East,MT
90,Citibank,CCITCSAWGWT,RAK Bank,RBRAMEAANF7,1560291.14,AED,MT799,2019,Incoming,Loan Disbursement,Central Asia,Middle East,MT
91,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Sharjah Islamic Bank,SIBSMEAWAQ7,107831.72,AED,MT202,2015,Incoming,Retail Payment,Asia Pacific,Middle East,MT
92,BNP Paribas,BPBNSAGC7SV,First Abu Dhabi Bank,FADBMEA2699,24175234.0,JPY,MT910,2017,Outgoing,Loan Disbursement,South Asia,Middle East,MT
93,Wells Fargo,WFWENAPH7O1,Sharjah Islamic Bank,SIBSMEAWAQ7,3809.86,USD,MT940,2016,Outgoing,Interbank Settlement,North America,Middle East,MT
94,Industrial and Commercial Bank of China,IACBCASEWNX,Abu Dhabi Islamic Bank,ADIBMEAAD1L,1828.7,USD,MT910,2022,Incoming,Trade Finance,Caribbean,Middle East,MT
95,Morgan Stanley,MSMOAFSRT5V,Bank of America,BOABAPYTBUG,11971.97,EUR,MT910,2023,Incoming,Loan Disbursement,Africa,Asia Pacific,MT
96,Industrial and Commercial Bank of China,IACBCASEWNX,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,573356.77,USD,MT103,2021,Outgoing,Investment,Caribbean,Middle East,MT
97,HSBC,HSBCSAJE8V3,Dubai Islamic Bank,DIBDMEA5E82,2703.08,USD,MT910,2020,Incoming,Loan Disbursement,South Asia,Caribbean,MT
98,Emirates NBD,ENEMMEA6RXO,RAK Bank,RBRAMEAANF7,5124913.0,JPY,MT940,2018,Outgoing,Retail Payment,Middle East,Middle East,MT
99,Standard Chartered,SCSTSAJOP2N,Dubai Islamic Bank,DIBDMEA5E82,72854.99,USD,MT910,2023,Outgoing,Investment,South Asia,Middle East,MT
100,Goldman Sachs,GSGOAPYB7P0,National Bank of Fujairah,NBOFMEAE56L,100508.53,AED,MT700,2022,Incoming,Corporate Payment,Asia Pacific,Middle East,MT
101,Abu Dhabi Commercial Bank,ADCBMEAD03P,Mashreq Bank,MBMAMEAE4ZY,8027.64,EUR,MT103,2016,Incoming,Trade Finance,Middle East,Middle East,MT
102,Citibank,CCITCSAWGWT,Sharjah Islamic Bank,SIBSMEAWAQ7,17981.9,AED,MT910,2017,Outgoing,Investment,Central Asia,Middle East,MT
103,Bank of America,BOABAPYTBUG,United Arab Bank,UABUMEAPCIA,1398.44,EUR,MT799,2022,Outgoing,Corporate Payment,Asia Pacific,Middle East,MT
104,First Abu Dhabi Bank,FADBMEA2699,Barclays,BBARCAJJO3R,141856.45,USD,MT940,2021,Outgoing,Trade Finance,Middle East,Europe,MT
105,Emirates NBD,ENEMMEA6RXO,Bank of China,BOCBLAUE3HB,152148.08,USD,MT799,2016,Incoming,Interbank Settlement,Middle East,South Asia,MT
106,Dubai Islamic Bank,DIBDMEA5E82,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,44213.03,SGD,MT202,2021,Incoming,Retail Payment,Middle East,South Asia,MT
107,Barclays,BBARCAJJO3R,Commercial Bank of Dubai,CBODMEA7WUU,179524.51,AED,MT700,2016,Outgoing,Treasury Operations,Caribbean,Middle East,MT
108,Dubai Islamic Bank,DIBDMEA5E82,Bank of America,BOABAPYTBUG,6260038.0,JPY,MT103,2017,Incoming,FX Settlement,Middle East,Southeast Asia,MT
109,Barclays,BBARCAJJO3R,First Abu Dhabi Bank,FADBMEA2699,54142.12,EUR,MT103,2016,Outgoing,Trade Finance,Caribbean,Middle East,MT
110,HSBC,HSBCSAJE8V3,Mashreq Bank,MBMAMEAE4ZY,604813.72,CHF,MT700,2022,Outgoing,Retail Payment,South Asia,Latin America,MT
111,JPMorgan Chase,JCJPCSPOOGD,Abu Dhabi Islamic Bank,ADIBMEAAD1L,87051.65,USD,MT940,2015,Outgoing,Trade Finance,Central Asia,Middle East,MT
112,BNP Paribas,BPBNSAGC7SV,United Arab Bank,UABUMEAPCIA,414876.43,AED,MT910,2023,Outgoing,Trade Finance,South Asia,Middle East,MT
113,Citibank,CCITCSAWGWT,Dubai Islamic Bank,DIBDMEA5E82,21206688.0,JPY,MT103,2015,Incoming,Investment,Central Asia,Middle East,MT
114,Mashreq Bank,MBMAMEAE4ZY,Dubai Islamic Bank,DIBDMEA5E82,34218.88,EUR,MT760,2020,Incoming,Loan Disbursement,Middle East,Middle East,MT
115,Standard Chartered,SCSTSAJOP2N,Bank of China,BOCBLAUE3HB,70129.12,GBP,MT700,2023,Incoming,Interbank Settlement,South Asia,Africa,MT
116,Standard Chartered,SCSTSAJOP2N,Dubai Islamic Bank,DIBDMEA5E82,94876.96,USD,MT202,2023,Incoming,Investment,South Asia,Middle East,MT
117,Mashreq Bank,MBMAMEAE4ZY,Sharjah Islamic Bank,SIBSMEAWAQ7,21657.65,GBP,MT940,2016,Incoming,Interbank Settlement,Middle East,Middle East,MT
118,Abu Dhabi Commercial Bank,ADCBMEAD03P,Dubai Islamic Bank,DIBDMEA5E82,1161656.28,CHF,MT799,2023,Incoming,Treasury Operations,Middle East,Middle East,MT
119,UBS,UBSXCAE3O4P,Emirates NBD,ENEMMEA6RXO,315059.83,EUR,MT799,2017,Incoming,FX Settlement,Caribbean,Middle East,MT
120,Emirates NBD,ENEMMEA6RXO,Citibank,CCITCSAWGWT,165732.46,AUD,MT910,2019,Incoming,Investment,Middle East,Latin America,MT
121,Citibank,CCITCSAWGWT,Morgan Stanley,MSMOAFSRT5V,7518.18,AED,MT202,2015,Incoming,Trade Finance,Central Asia,South Asia,MT
122,Credit Suisse,CSCREUD3JR5,First Abu Dhabi Bank,FADBMEA2699,184098.13,USD,MT103,2016,Incoming,Retail Payment,Europe,Middle East,MT
123,BNP Paribas,BPBNSAGC7SV,Goldman Sachs,GSGOAPYB7P0,28058.02,USD,MT700,2021,Outgoing,Investment,South Asia,Europe,MT
124,BNP Paribas,BPBNSAGC7SV,Dubai Islamic Bank,DIBDMEA5E82,59915.46,EUR,MT950,2018,Outgoing,Trade Finance,South Asia,Middle East,MT
125,Emirates NBD,ENEMMEA6RXO,Goldman Sachs,GSGOAPYB7P0,36518.69,EUR,MT760,2017,Incoming,Investment,Middle East,Latin America,MT
126,Barclays,BBARCAJJO3R,Emirates NBD,ENEMMEA6RXO,22501.06,USD,MT950,2015,Outgoing,Investment,Caribbean,Middle East,MT
127,Goldman Sachs,GSGOAPYB7P0,Emirates NBD,ENEMMEA6RXO,17824.89,EUR,MT202,2019,Outgoing,Investment,Asia Pacific,Middle East,MT
128,Wells Fargo,WFWENAPH7O1,Abu Dhabi Commercial Bank,ADCBMEAD03P,8286.17,EUR,MT103,2017,Incoming,Investment,North America,Middle East,MT
129,Bank of America,BOABAPYTBUG,Emirates NBD,ENEMMEA6RXO,34496.5,AED,MT202,2015,Incoming,Retail Payment,Asia Pacific,Middle East,MT
130,Citibank,CCITCSAWGWT,Abu Dhabi Islamic Bank,ADIBMEAAD1L,15799.24,AUD,MT950,2016,Incoming,Loan Disbursement,Central Asia,Middle East,MT
131,Citibank,CCITCSAWGWT,National Bank of Fujairah,NBOFMEAE56L,5742.28,GBP,MT799,2021,Incoming,Investment,Central Asia,Middle East,MT
132,Standard Chartered,SCSTSAJOP2N,First Abu Dhabi Bank,FADBMEA2699,738737.0,JPY,MT760,2023,Outgoing,FX Settlement,South Asia,Middle East,MT
133,Dubai Islamic Bank,DIBDMEA5E82,RAK Bank,RBRAMEAANF7,1737.32,USD,MT202,2018,Outgoing,Trade Finance,Middle East,Middle East,MT
134,Goldman Sachs,GSGOAPYB7P0,First Abu Dhabi Bank,FADBMEA2699,4849.74,EUR,MT760,2017,Incoming,Corporate Payment,Asia Pacific,Middle East,MT
135,Standard Chartered,SCSTSAJOP2N,Royal Bank of Canada,RBOCAPJ0UHW,49325.42,AED,MT799,2021,Incoming,FX Settlement,South Asia,Europe,MT
136,HSBC,HSBCSAJE8V3,Mashreq Bank,MBMAMEAE4ZY,19048.83,USD,MT760,2016,Incoming,Investment,South Asia,Middle East,MT
137,Industrial and Commercial Bank of China,IACBCASEWNX,UBS,UBSXCAE3O4P,21379.02,USD,MT202,2018,Outgoing,Trade Finance,Caribbean,South Asia,MT
138,Barclays,BBARCAJJO3R,Abu Dhabi Commercial Bank,ADCBMEAD03P,27249.3,GBP,MT940,2018,Outgoing,Investment,Caribbean,Middle East,MT
139,Dubai Islamic Bank,DIBDMEA5E82,Dubai Islamic Bank,DIBDMEA5E82,422831.71,AED,MT950,2019,Outgoing,Corporate Payment,Middle East,Middle East,MT
140,Deutsche Bank,DBDEAFDWKG7,Abu Dhabi Commercial Bank,ADCBMEAD03P,105305.31,EUR,MT103,2022,Incoming,Corporate Payment,Africa,Middle East,MT
141,Royal Bank of Canada,RBOCAPJ0UHW,Sharjah Islamic Bank,SIBSMEAWAQ7,11657.17,USD,MT700,2020,Incoming,Corporate Payment,Asia Pacific,Middle East,MT
142,Royal Bank of Canada,RBOCAPJ0UHW,Abu Dhabi Islamic Bank,ADIBMEAAD1L,7102.25,EUR,MT103,2020,Incoming,Treasury Operations,Asia Pacific,Middle East,MT
143,Dubai Islamic Bank,DIBDMEA5E82,Abu Dhabi Commercial Bank,ADCBMEAD03P,47881.69,USD,MT760,2017,Outgoing,Corporate Payment,Middle East,Middle East,MT
144,Emirates NBD,ENEMMEA6RXO,RAK Bank,RBRAMEAANF7,6303.53,EUR,MT760,2021,Outgoing,Retail Payment,Middle East,Middle East,MT
145,JPMorgan Chase,JCJPCSPOOGD,Commercial Bank of Dubai,CBODMEA7WUU,499804.34,CNY,MT799,2018,Incoming,Trade Finance,Central Asia,Middle East,MT
146,Mashreq Bank,MBMAMEAE4ZY,Dubai Islamic Bank,DIBDMEA5E82,13949.09,USD,MT760,2021,Outgoing,Trade Finance,Middle East,Middle East,MT
147,First Abu Dhabi Bank,FADBMEA2699,United Arab Bank,UABUMEAPCIA,123489.32,USD,MT103,2023,Incoming,Trade Finance,Middle East,Middle East,MT
148,Emirates NBD,ENEMMEA6RXO,RAK Bank,RBRAMEAANF7,6520.56,EUR,MT940,2020,Outgoing,Retail Payment,Middle East,Middle East,MT
149,Abu Dhabi Commercial Bank,ADCBMEAD03P,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,50945.58,AED,MT103,2022,Outgoing,Trade Finance,Middle East,Middle East,MT
150,Industrial and Commercial Bank of China,IACBCASEWNX,Mashreq Bank,MBMAMEAE4ZY,30086.88,AED,MT940,2022,Outgoing,Trade Finance,Caribbean,South Asia,MT
151,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Commercial Bank of Dubai,CBODMEA7WUU,168092.17,USD,MT202,2022,Outgoing,FX Settlement,Asia Pacific,Middle East,MT
152,BNP Paribas,BPBNSAGC7SV,Emirates NBD,ENEMMEA6RXO,103049.42,USD,MT799,2021,Incoming,Corporate Payment,South Asia,Middle East,MT
153,Mashreq Bank,MBMAMEAE4ZY,Mashreq Bank,MBMAMEAE4ZY,6445.28,USD,MT700,2023,Outgoing,Treasury Operations,Middle East,Middle East,MT
154,Morgan Stanley,MSMOAFSRT5V,Abu Dhabi Islamic Bank,ADIBMEAAD1L,47147.88,EUR,MT700,2017,Incoming,Loan Disbursement,Africa,Middle East,MT
155,JPMorgan Chase,JCJPCSPOOGD,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,16923.62,AED,MT760,2016,Outgoing,Loan Disbursement,Central Asia,Middle East,MT
156,Bank of America,BOABAPYTBUG,Dubai Islamic Bank,DIBDMEA5E82,127308.85,EUR,MT799,2015,Incoming,Interbank Settlement,Asia Pacific,Europe,MT
157,JPMorgan Chase,JCJPCSPOOGD,Sharjah Islamic Bank,SIBSMEAWAQ7,11424.34,CNY,MT700,2015,Outgoing,Investment,Central Asia,Middle East,MT
